route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
3113_32198,7778347,DK05,"Cabra (Cavan), Forest Park - Dundalk I.T (Main Gate)",,3,,,
3511_51301,7778082,IW07,"Gorey, Main Street - Carlow, Carlow College",,3,,,
3579_53763,7778256,SI03,Belmullet - Sligo,,3,,,
3579_53764,7778256,NG11,Belmullet - Galway,,3,,,
3592_37748,7778099,KY03,"Killarney, Gleneagle Hotel - Killarney, Gleneagle Hotel",,3,,,
3826_51300,7778193,UM11,Gorey - Wicklow - Maynooth,,3,,,
3863_49809,7778348,AI05,Edenderry - Athlone,,3,,,
4194_46238,7778230,164,Sydney Parade DART Station - UCD,,3,,,
4194_72109,7778230,511,Rathfarnham - Mount Anville,,3,,,
4307_77791,7778269,BI01,TU Dublin Shuttle Bus,,3,,,
4389_83262,7778260,DK07,Monaghan - Dundalk Institute of Technology,,3,,,
4390_77356,7778227,930,Swanlinbar - Cavan,,3,,,
4409_84786,7778266,VI04,Cross Keys - Cavan,,3,,,
4410_83419,7778060,IW08,Mountmellick - Carlow,,3,,,
4442_85798,7778309,525,Galway City - Rossaveel,,3,,,
4465_46239,7778100,KL03,Santry - Keelings Retail UC,,3,,,
4506_41295,7778371,809,Galway City  - Glásan Student Village,,3,,,
4540_74631,7778247,UM15,Carrick-on-Suir - Maynooth University,,3,,,
4540_91935,7778247,WI05,Clonmel/ Limerick - Waterford,,3,,,
4551_56125,7778032,947,Rossport - Belmullet,,3,,,
4551_91958,7778032,945,Rossport - Belmullet,,3,,,
4551_92138,7778032,946,Rossport - Belmullet,,3,,,
4586_37963,7778036,836,"Dublin, Millennium Spire - Corduff (Fingal), Cruiserath Road",,3,,,
4586_46124,7778036,787,"Ballymun, Travelodge Hotel - Dublin Airport",,3,,,
4586_47272,7778036,870,O'Connell Street Upper - Damastown IBM,,3,,,
4586_74628,7778036,860,Aston Quay - Park West,,3,,,
4586_92217,7778036,786,Dublin Airport Hilton Hotel - Dublin Airport,,3,,,
4653_77790,7778101,191,Stamullen - Dublin City,,3,,,
4661_98303,7778352,853,Dublin Port - Dublin City,,3,,,
4689_99517,7778363,MB01,Ballymore - Moate,,3,,,
4794_105285,7778028,KK1,Glenbawn - Danville Business Park,,3,,,
4794_105286,7778028,KK2,Cillín Hill - St Luke’s Hospital,,3,,,
4794_99934,7778028,410,Mount Prospect - Eyre Square,,3,,,
4794_99935,7778028,411,Mount Prospect - Eyre Square,,3,,,
4794_99936,7778028,412,Mount Prospect - Eyre Square,,3,,,
4794_99938,7778028,PL1,Colliers Lane - Woodgrove,,3,,,
4794_99940,7778028,PL2,Kilminchy Avenue – Bellingham,,3,,,
4818_106965,7778225,741,Dublin Airport - Dublin Airport,,3,,,
4818_68786,7778225,193,Ratoath - Dublin City,,3,,,
4818_68787,7778225,194,Ratoath - Dublin City,,3,,,
4820_106967,7778006,120,Dublin - Edenderry,,3,,,
4820_106968,7778006,125,UCD - Newbridge,,3,,,
4820_106969,7778006,126,Dublin - Rathangan,,3,,,
4820_106970,7778006,130,Dublin - Athy,,3,,,
4820_106971,7778006,120A,Dublin - Edenderry,,3,,,
4820_106972,7778006,120B,Dublin - Newbridge,,3,,,
4820_106973,7778006,120C,Enfield - Tullamore,,3,,,
4820_106974,7778006,120D,Enfield - Tullamore,,3,,,
4820_106975,7778006,120E,Dublin - Edenderry,,3,,,
4820_106976,7778006,120F,Connolly Station - Newbridge Centre,,3,,,
4820_106977,7778006,120X,Dublin - Edenderry,,3,,,
4820_106978,7778006,126A,Dublin - Kildare,,3,,,
4820_106979,7778006,126B,Dublin - Rathangan,,3,,,
4820_106980,7778006,126D,Dublin - Kildare,,3,,,
4820_106981,7778006,126E,Dublin - Kildare,,3,,,
4820_106982,7778006,126T,Dublin - Kildare,,3,,,
4820_106983,7778006,126U,Dublin UCD - Kildare,,3,,,
4820_106984,7778006,126N,Dublin - Newbridge,,3,,,
4820_106985,7778006,126X,Dublin - Rathangan,,3,,,
4820_106986,7778006,130A,Dublin - Athy,,3,,,
4822_107107,7778239,UM04,Wexford - Maynooth,,3,,,
4835_107432,7778249,AI01,Longford - Athlone,,3,,,
4836_107433,7778487,DK08,Ardee - Dundalk Institute of Technology,,3,,,
4847_107435,7778254,UM08,Dundrum - Maynooth University,,3,,,
4859_94420,7778352,KL04,Tyrrelstown - Keelings Flowers Food Central,,3,,,
4859_94421,7778352,KL01,Phibsborough - Keelings Retail UC,,3,,,
4860_107594,7778246,UL05,Westport - LimericK,,3,,,
4864_107633,7778246,970,Breaffy House Resort - Castlebar Town,,3,,,
4864_37738,7778246,968,"Knockcroghery (Mayo), Church of the Holy Rosary - Castlecourt Hotel Westport",,3,,,
4867_107634,7778206,NG01,Ballina - Galway,,3,,,
4867_107643,7778206,SI11,Ballina - Sligo,,3,,,
4869_107641,7778105,AI02,Roscommon - Athlone,,3,,,
4873_107635,7778255,UM05,Cavan - Maynooth University,,3,,,
4873_107644,7778255,GM13,Monaghan - Galway,,3,,,
4873_107645,7778255,UM09,Athboy - Maynooth University,,3,,,
4873_107646,7778255,UM03,Dundalk - Maynooth University,,3,,,
4874_107648,7778048,UM02,Birr - Maynooth,,3,,,
4875_103878,7778044,UM12,Carlow - Maynooth University,,3,,,
4875_105287,7778044,UM14,Portlaoise - Maynooth University,,3,,,
4875_107642,7778044,UM06,Athy - Maynooth University,,3,,,
4875_107650,7778044,GD02,Tramore - Dublin City,,3,,,
4875_40282,7778044,IW04,SETU Carlow Campus - Mountmellick,,3,,,
4875_77357,7778044,IW06,Portlaoise - Carlow,,3,,,
4878_107647,7778268,DK04,Bailieborough - Dundalk Institute of Technology,,3,,,
4878_107654,7778268,DK03,Trim - Dundalk Institute of Technology,,3,,,
4878_107655,7778268,DK02,Moynalty - Dundalk Institute of Technology,,3,,,
4878_40268,7778268,DK01,"Dunshaughlin (Euromart Shop) - Dundalk, DkIT Dublin Road",,3,,,
4881_107657,7778490,VI01,Kingscourt - Cavan,,3,,,
4883_107639,7778270,OF01,Carlingford - Dundalk,,3,,,
4883_107640,7778270,DF01,Carlingford - Drogheda,,3,,,
4889_107656,7778082,IW01,Kilkenny - South East Technological University Ca,,3,,,
4915_94517,7778002,29n,"Dublin City South, D'Olier Street - Baldoyle, Warrenhouse Road",,3,,,
4915_94518,7778002,31n,"Dublin City South, D'Olier Street - Howth, Outside Train Station",,3,,,
4915_94519,7778002,33n,Westmoreland Street - Balbriggan,,3,,,
4915_94520,7778002,42n,"Dublin City South, D'Olier Street - Portmarnock, Strand Road (St.Anne's Estate)",,3,,,
4915_94521,7778002,46n,"Dublin City South, D'Olier Street - Dundrum, Outside Luas Station",,3,,,
4915_94522,7778002,69n,"Dublin City South, Westmoreland Street - Saggart,",,3,,,
4915_94523,7778002,70n,Westmoreland Street - Tyrrelstown,,3,,,
4915_94524,7778002,77n,D'Olier Street - Citywest,,3,,,
4915_94525,7778002,88n,"Dublin City South, Westmoreland Street - Ashbourne, Ashbourne Kelly's",,3,,,
4915_94526,7778002,49n,D'Olier Street - Kilnamanagh,,3,,,
4915_94527,7778002,7n,"Dublin City South, D'Olier Street - Dún Laoghaire-Rathdown, Woodbrook Golf Club",,3,,,
4915_94528,7778002,84n,"Dublin City South, D'Olier Street - Charlesland Road (Seaborne View Apts)",,3,,,
4929_109380,7778364,DY01,Kells - Dunboyne,,3,,,
4938_94479,7778108,785,Belfast - Dublin,,3,,,
4938_94480,7778108,783,Dublin Airport - Terenure,,3,,,
4938_94481,7778108,782,Dublin Airport - Dublin City,,3,,,
4938_94482,7778108,784,Dublin Airport - Dublin City,,3,,,
4951_105288,7778077,976,Cockhill - Bridgend,,3,,,
4951_109514,7778077,951,Malin Town - Letterkenny,,3,,,
4952_109515,7778054,991,Killybegs - Letterkenny,,3,,,
4959_109516,7778068,290A,Tralee and Tralee via Blennerville,,3,,,
4959_109717,7778068,290B,Tralee and Tralee via Manor West,,3,,,
4962_107649,7778092,UL06,Drumshanbo - Limerick,,3,,,
4962_107653,7778092,NG05,Ballinamore – Galway,,3,,,
4962_109838,7778092,449,Drumshanbo - Sligo,,3,,,
4970_107636,7778193,740,Wexford - Dublin Airport,,3,,,
4970_107637,7778193,740A,Gorey - Dublin Airport,,3,,,
4970_107638,7778193,740X,Wexford - Dublin Airport,,3,,,
4970_108852,7778193,859,Enniscorthy - Wexford,,3,,,
4970_109379,7778193,376,Wexford - Carlow,,3,,,
4970_109512,7778193,390,Wexford Town - Kilmore Quay,,3,,,
4970_109839,7778193,WX1,Drinagh Loop,,3,,,
4970_110423,7778193,WX2,Clonard Loop,,3,,,
4970_110467,7778193,877,Wexford Town - Wexford Town via Castlebridge,,3,,,
4970_94290,7778193,884,Gorey - Wexford,,3,,,
4970_94293,7778193,340,Wexford - Waterford,,3,,,
4975_109381,7778038,527,Kilcurriff - Tuam,,3,,,
4975_109382,7778038,488,Kilcurriff - Kilcurriff,,3,,,
4975_109513,7778038,441,Corofin - Tuam,,3,,,
4975_110722,7778038,484,Glenaneeney/Kilcurriff - Tuam,,3,,,
4977_110723,7778153,980,Carrickmacross - Dublin City,,3,,,
4977_84824,7778153,980A,Carrickmacross - Dublin City,,3,,,
4977_84825,7778153,980B,Carrickmacross - Dublin City,,3,,,
4978_109840,7778048,843,Birr - Tullamore,,3,,,
4978_110721,7778048,844,Birr - Galway,,3,,,
4978_71840,7778048,847,Portumna - Dublin,,3,,,
4978_92181,7778048,845,Birr - Dublin,,3,,,
4980_110726,7778106,931,Crolly - Killea,,3,,,
4983_110725,7778066,500,Swords - Dublin City,,3,,,
4983_110727,7778066,501,Swords - Dublin City,,3,,,
4983_110728,7778066,502,Swords - Dublin City,,3,,,
4983_110729,7778066,503,Swords - Dublin City,,3,,,
4983_110731,7778066,505,Swords - Dublin City,,3,,,
4983_110732,7778066,506,Dublin City - Swords,,3,,,
4983_110733,7778066,507,Swords - Dublin City,,3,,,
4983_110736,7778066,500N,Dublin City - Swords,,3,,,
4983_110738,7778066,500X,Swords - Dublin City,,3,,,
4983_110739,7778066,505X,Dublin City - Swords,,3,,,
4983_110741,7778066,506X,Swords - Dublin City,,3,,,
4986_110743,7778093,974,Glen - Letterkenny,,3,,,
4988_110896,7778223,871,Urlingford - Kilkenny,,3,,,
4989_110899,7778024,702,Dublin Airport - Dalkey,,3,,,
4989_110900,7778024,700,Dublin Airport - Leopardstown,,3,,,
4989_110901,7778024,700X,Dublin Airport - Leopardstown,,3,,,
4989_94474,7778024,704x,Cork - Dublin - Dublin Airport,,3,,,
4989_94475,7778024,705x,Dublin City - Derry/Londonderry,,3,,,
4996_107358,7778080,250,Cobh - Cobh,,3,,,
4996_51296,7778080,211,"Cobh, O'Neill Place - Inchera, Hoffman Park",,3,,,
4996_56643,7778080,210,"Hollyhill (Apple) - Castleview, Little Island",,3,,,
4996_72621,7778080,200,Cobh - Cork City,,3,,,
4998_111026,7778021,59,Dun Laoghaire - Killiney Hill Park,,3,,,
4998_111027,7778021,73,Kilnamanagh Road - Griffith Avenue East,,3,,,
4998_111028,7778021,102,Dublin Airport - Sutton DART,,3,,,
4998_111029,7778021,104,Clontarf Station - DCU (The Helix),,3,,,
4998_111030,7778021,111,Brides Glen - Kilbogget Pk,,3,,,
4998_111031,7778021,114,Ticknock - Blackrock,,3,,,
4998_111032,7778021,161,Rockbrook - Dundrum,,3,,,
4998_111033,7778021,197,"Airside Ind. Estate, stop 7210 - Ashbourne Retail Pk, stop 101001",,3,,,
4998_111034,7778021,220,DCU (The Helix) - Lady's Well Road,,3,,,
4998_111035,7778021,236,Blanchardstown - IBM Campus,,3,,,
4998_111036,7778021,238,Tyrrelstown - Mulhuddart,,3,,,
4998_111037,7778021,270,Dunboyne - Blanchardstown,,3,,,
4998_111038,7778021,33A,Dublin Airport - Balbriggan,,3,,,
4998_111039,7778021,33B,Swords - Portrane,,3,,,
4998_111040,7778021,33T,Skerries - Donabate,,3,,,
4998_111041,7778021,45A,Kilmacanogue - Dun Laoghaire,,3,,,
4998_111042,7778021,45B,Kilmacanogue - Dun Laoghaire,,3,,,
4998_111043,7778021,L1,Newcastle Hospital - Bray Station,,3,,,
4998_111044,7778021,L2,"Sea Road, Newcastle - Bray Station",,3,,,
4998_111045,7778021,L3,Glenbrook Park - The Nurseries,,3,,,
4998_111046,7778021,N2,Clontarf Station - Heuston Train Stn,,3,,,
4998_111047,7778021,N6,Finglas Village - Naomh Barróg GAA,,3,,,
4998_111048,7778021,S4,Liffey Valley - UCD,,3,,,
4998_111049,7778021,S6,The Square - Blackrock Station,,3,,,
4998_111050,7778021,S8,Kingswood Avenue - Dun Laoghaire Stn,,3,,,
4998_111051,7778021,W2,The Square - Liffey Valley SC,,3,,,
4998_111052,7778021,W4,The Square - Blanchardstown SC,,3,,,
4998_111053,7778021,W6,Community College - The Square,,3,,,
4998_111054,7778021,L51,Liffey Valley SC - Adamstown Station,,3,,,
4998_111055,7778021,L52,Blanchardstown SC - Adamstown Station,,3,,,
4998_111056,7778021,L55,Hollyville Lawn - Glenaulin,,3,,,
4998_111057,7778021,102A,Swords - Sutton,,3,,,
4998_111058,7778021,102C,Balgriffin - Sutton,,3,,,
4998_111059,7778021,102P,Swords - Portmarnock,,3,,,
4998_111060,7778021,102T,Swords - Sutton,,3,,,
4998_111061,7778021,185T,Enniskerry - Bray,,3,,,
4998_111062,7778021,220A,DCU (The Helix) - Lady's Well Road,,3,,,
4998_111063,7778021,220T,Collins Avenue West - Finglas Garda Stn,,3,,,
4998_111064,7778021,236A,Blanchardstown - IBM Campus,,3,,,
4998_111065,7778021,236T,Scoil Oilibheir - Tyrrelstown,,3,,,
4998_111066,7778021,270T,Castaheany Estate - Castleknock Community College,,3,,,
4998_111067,7778021,L15,Bray Station - Enniskerry,,3,,,
4998_111068,7778021,L26,Blackrock Station - Kilternan Village,,3,,,
4998_111069,7778021,L27,Dun Laoghaire Stn - Leopardstown Valley,,3,,,
5026_112120,7778304,437,Tourmakeady - Castlebar,,3,,,
5027_110724,7778046,327,Tankardstown - Kilmallock,,3,,,
5027_112157,7778046,325,Effin - Charleville,,3,,,
5028_112158,7778238,BR01,Gorey - Bray Institute of Further Education,,3,,,
5030_112275,7778481,433,Roscommon - Galway City,,3,,,
5032_110904,7778056,497,Glenamoy - Glenamoy,,3,,,
5032_110905,7778056,499,Glenamoy - Ballina,,3,,,
5032_111025,7778056,436,Ballina - Ballycastle,,3,,,
5032_111260,7778056,452,Glenamoy - Glenamoy,,3,,,
5032_111955,7778056,496,Glenamoy - Ballina,,3,,,
5032_112119,7778056,498,Glenamoy - Castlebar,,3,,,
5033_112279,7778102,ATH1,Athlone Town Service,,3,,,
5042_112911,7778084,231,Ardgroom - Cork City,,3,,,
5044_51299,7778098,229,Bantry - Cork City,,3,,,
5044_68250,7778098,228,Kinsale - Cork City,,3,,,
5044_92976,7778098,230,Cork City - Skibbereen,,3,,,
5045_107658,7778198,932A,Annagry - Dublin,,3,,,
5045_107659,7778198,933A,Moville - Dublin,,3,,,
5045_111258,7778198,933,Moville - Dublin,,3,,,
5045_112278,7778198,932,Annagry - Dublin,,3,,,
5047_110734,7778013,393,Thurles - Clonmel,,3,,,
5047_110740,7778013,395,Templemore - Nenagh,,3,,,
5047_110742,7778013,397,Nenagh - Thurles,,3,,,
5047_110902,7778013,812,Urlingford - Roscrea,,3,,,
5047_110903,7778013,394,Clonmel - Thurles,,3,,,
5047_111023,7778013,881,"Graiguenamanagh, Graiguenamanagh - Kilkenny Castle",,3,,,
5047_112913,7778013,882,Inistioge - Kilkenny,,3,,,
5047_40574,7778013,396,Thurles - Clonmel,,3,,,
5048_112914,7778094,181,Glendalough - Dublin City,,3,,,
5049_113131,7778008,W1,Clock Tower - Ballybeg,,3,,,
5049_113132,7778008,W3,Clock Tower - Meagher's Quay,,3,,,
5049_113133,7778008,W2,Clock Tower - WIT - Meagher's Quay,,3,,,
5049_113134,7778008,W4,Peter Street - Brownes Road,,3,,,
5049_113135,7778008,W5,Hospital - Oakwood,,3,,,
5058_112917,7778020,2,Dublin Airport - Gorey - Wexford,,3,,,
5058_112918,7778020,4,Dublin Airport - Waterford,,3,,,
5058_112919,7778020,13,Limerick - Adare - Listowel - Tralee,,3,,,
5058_112920,7778020,14,Limerick - Kerry Airport - Killarney,,3,,,
5058_112921,7778020,22,Dublin - Airport - Longford - Ballina,,3,,,
5058_112922,7778020,23,Dublin - Airport - Longford - Sligo,,3,,,
5058_112923,7778020,30,Dublin - Airport - Cavan - Donegal,,3,,,
5058_112924,7778020,32,Dublin Airport - Monaghan - Letterkenny,,3,,,
5058_112925,7778020,40,Tralee - Cork - Waterford - Rosslare,,3,,,
5058_112926,7778020,51,Cork - Limerick - Galway,,3,,,
5058_112927,7778020,52,Ballina - Castlebar - Galway,,3,,,
5058_112928,7778020,55,Limerick - Waterford,,3,,,
5058_112929,7778020,64,Galway Bus Station - Derry (Magee Campus Strand Road),,3,,,
5058_112930,7778020,65,Galway - Athlone - Monaghan,,3,,,
5058_112931,7778020,70,Galway - Mullingar - Dundalk,,3,,,
5058_112932,7778020,72,Limerick - Birr - Athlone,,3,,,
5058_112933,7778020,73,Waterford - Athlone - Longford,,3,,,
5058_112934,7778020,100,Drogheda - Dundalk - Newry,,3,,,
5058_112935,7778020,101,Dublin - Airport - Drogheda,,3,,,
5058_112936,7778020,103,Dublin - Ashbourne - Ratoath,,3,,,
5058_112937,7778020,B1,Rail Station - Millfield Centre,,3,,,
5058_112938,7778020,105,Blanchardstown - Ashbourne - Ashbourne - Drogheda,,3,,,
5058_112939,7778020,107,Dublin - Navan - Nobber - Kingscourt,,3,,,
5058_112940,7778020,108,Dublin - Kells - Bailieboro,,3,,,
5058_112941,7778020,109,Dublin - Navan - Kells - Cavan,,3,,,
5058_112942,7778020,111,Wilton Tce - Trim - Granard - Cavan,,3,,,
5058_112943,7778020,115,Dublin - Mullingar,,3,,,
5058_112944,7778020,131,Bray - Wicklow,,3,,,
5058_112945,7778020,132,Dublin - Carnew - Bunclody,,3,,,
5058_112946,7778020,133,Dublin - Wicklow,,3,,,
5058_112947,7778020,160,Dundalk - Ravensdale - Newry,,3,,,
5058_112948,7778020,161,Dundalk - Carlingford - Newry,,3,,,
5058_112949,7778020,162,Dundalk - Monaghan - Clones - Cavan,,3,,,
5058_112950,7778020,167,Dundalk - Louth - Ardee,,3,,,
5058_112951,7778020,168,Dundalk - Annagassan,,3,,,
5058_112952,7778020,170,Cavan - Dundalk,,3,,,
5058_112953,7778020,173,Drogheda West St - Dominck St,,3,,,
5058_112954,7778020,174,Long Walk - Muirhevnamuir,,3,,,
5058_112955,7778020,175,Monaghan - Cootehill - Cavan,,3,,,
5058_112956,7778020,182,Drogheda - Collon - Ardee - Monaghan,,3,,,
5058_112957,7778020,187,Kells - Virginia - Ballyjamesduff,,3,,,
5058_112958,7778020,190,Drogheda - Navan - Trim,,3,,,
5058_112959,7778020,201,Lotabeg - Hollyhill - CIT - CUH,,3,,,
5058_112960,7778020,202,Ringmahon - City - Hollyhill (Apple),,3,,,
5058_112961,7778020,203,Lehenaghmore - City Centre - Parklands,,3,,,
5058_112962,7778020,205,Train Station - St. Patrick St - CIT,,3,,,
